Age,Age_Bin,Gender,Education,Race,City.US.Raised,Raised.State,Latitude,Longitude,City.US.Fa,Father.State,City.US.Mo,Mother.State,City.US.Curr,Current.State,SurveyType,PI_1181,PI_1182,PI_1042
20,18-30,Male,No_degree,White,Ashburn,VA,37.17909241,-80.35150146,Sterling,VA,Sterling,VA,Ashburn,VA,9,NA,NA,NA
22,18-30,Male,No_degree,White,Frederick,MD,38.78509521,-77.28659821,,,Concordia,KS,Burke,VA,9,NA,NA,NA
46,41-50,Male,Graduate,White,Manhattan,NY,32.85920715,-97.08190155,Jackson,MS,,,Euless,TX,9,NA,NA,NA
23,18-30,Male,Associates,White,Carlsbad,CA,37.33380127,-121.8914948,Topeka,KS,Gulf Breeze,FL,San Jose,CA,9,NA,NA,NA
59,51-60,Female,HS_diploma,White,Houston,TX,47.61540222,-122.2102966,Houston,TX,Houston,TX,Newcastle,WA,9,NA,NA,NA
31,31-40,Male,Bachelors,White,,,43.37919617,-84.667099,,,,,St. Louis,MI,9,NA,NA,NA
25,18-30,Male,HS_diploma,White,Hollywood,FL,26.02220154,-80.14959717,,,,,Hollywood,FL,9,NA,NA,NA
38,31-40,Male,Bachelors,White,New Iberia,LA,30.45069885,-91.15460205,New Iberia,LA,New Iberia,LA,Duson,LA,9,NA,NA,NA
30,18-30,Female,Bachelors,Asian,Lakeland,FL,27.94749451,-81.92040253,,,,,Lakeland,FL,9,NA,NA,NA
46,41-50,Female,Bachelors,White,,,33.61410522,-101.9573975,,,,,Lubbock,TX,9,NA,NA,NA
50,41-50,Male,Bachelors,White,Bellmore,NY,29.30050659,-81.19480133,Brooklyn,NY,Bronx,NY,Ormond Beach,FL,9,NA,NA,NA
31,31-40,Female,Bachelors,White,Manassas,VA,38.93539429,-77.02839661,Alexandria,VA,Fairfax,VA,Alexandria,VA,9,NA,NA,NA
27,18-30,Female,Bachelors,White,Staten Island,NY,40.62339783,-74.02880096,,,,,Staten Island,NY,9,NA,NA,NA
43,41-50,Female,Bachelors,White,Los Angeles,CA,33.78160095,-118.1858978,,,,,Los Angeles,CA,9,NA,NA,NA
27,18-30,Female,Associates,White,La Crosse,WI,41.90379333,-87.67569733,Lubbock,TX,Milwaukee,WI,Chicago,IL,9,NA,NA,NA
22,18-30,Male,HS_diploma,Asian,Newfield,NJ,40.68209839,-74.3588028,,,,,Irvington Township,NJ,9,NA,NA,NA
60,51-60,Female,Graduate,White,Audubon,PA,40.04089355,-75.63739777,Kulpsville,PA,Schwenksville,PA,Exton,PA,9,NA,NA,NA
36,31-40,Male,Bachelors,Asian,,,11.3500061,77.73330688,,,,,,,9,NA,NA,NA
34,31-40,Male,Graduate,White,Mount Vernon,IL,40.21490479,-88.40460205,Granite City,IL,Johnston City,IL,Woodlawn,IL,9,NA,NA,NA
60,51-60,Female,Bachelors,White,Bronx,NY,41.01010132,-73.84130096,Brooklyn,NY,Bronx,NY,White Plains,NY,9,NA,NA,NA
28,18-30,Female,Associates,White,Laguna Hills,CA,33.6053009,-117.7173004,Chicago,IL,San Francisco,CA,Laguna Hills,CA,9,NA,NA,NA
28,18-30,Male,Bachelors,White,Ocala,FL,29.05630493,-82.02570343,Antwerp,OH,,,Ocala,FL,9,NA,NA,NA
32,31-40,Female,No_degree,White,Salem,OH,40.03450012,-82.86949921,Salem,OH,Windham,OH,Westerville,OH,9,NA,NA,NA
31,31-40,Female,Bachelors,White,Cape Girardeau,MO,9.933303833,-84.08329773,,,Kaplan,LA,Denver,CO,9,NA,NA,NA
25,18-30,Female,Associates,White,Grand Rapids,MI,42.86639404,-85.66349792,Chicopee,MA,Chicopee,MA,Grand Rapids,MI,9,NA,NA,NA
24,18-30,Male,HS_diploma,White,Woodstock,VA,37.59489441,-77.57569885,Woodstock,VA,Woodstock,VA,Richmond,VA,9,NA,NA,NA
31,31-40,Male,Bachelors,White,Dane,WI,43.07449341,-87.90779877,,,Addison,NY,Milwaukee,WI,9,NA,NA,NA
28,18-30,Female,Bachelors,White,Jacksonville,FL,30.33039856,-81.6516037,Jacksonville,FL,Jacksonville,FL,Jacksonville,FL,9,NA,NA,NA
30,18-30,Female,Bachelors,Black,Los Angeles,CA,34.07640076,-118.2626038,Los Angeles,CA,Los Angeles,CA,Los Angeles,CA,9,NA,NA,NA
56,51-60,Female,Bachelors,White,New York,NY,40.61000061,-73.91079712,,,,,Brooklyn,NY,9,NA,NA,NA
24,18-30,Female,No_degree,Asian,Garland,TX,33.5460968,-101.8951035,,,,,Lubbock,TX,9,NA,NA,NA
24,18-30,Male,HS_diploma,Hispanic,Los Angeles,CA,33.97610474,-118.1535034,,,,,Los Angeles,CA,9,NA,NA,NA
42,41-50,Male,Bachelors,White,Roseville,MI,38.92129517,-77.03859711,,,,,Cheverly,MD,9,NA,NA,NA
28,18-30,Female,No_degree,Asian,Miami,FL,42.93589783,-97.44049835,,,,,Yankton,SD,9,NA,NA,NA
28,18-30,Male,Bachelors,White,Mount Blanchard,OH,47.60620117,-122.3320999,,,Findlay,OH,San Diego,CA,9,NA,NA,NA
26,18-30,Male,Graduate,White,Wichita,KS,37.76280212,-97.42970276,Wichita,KS,Conway Springs,KS,Wichita,KS,9,NA,NA,NA
63,61_up,Male,Graduate,White,White Plains,NY,28.6638031,-81.36620331,Brooklyn,NY,Bronx,NY,Miami,FL,9,NA,NA,NA
26,18-30,Male,Associates,White,Pahrump,NV,34.12809753,-118.289299,Beaver,PA,Syracuse,NY,Pahrump,NV,9,NA,NA,NA
24,18-30,Male,Bachelors,Asian,San Diego,CA,33.32330322,-111.8244019,Los Angeles,CA,Cloverdale,CA,Chandler,AZ,9,NA,NA,NA
30,18-30,Male,No_degree,White,Irrigon,OR,46.11070251,-118.3077011,Nampa,ID,,,Walla Walla,WA,9,NA,NA,NA
27,18-30,Male,Graduate,White,Adams Township - Butler County,PA,40.81759644,-96.71140289,Adams Township - Butler County,PA,Allegheny Township - Butler County,PA,Adams Township - Butler County,PA,9,NA,NA,NA
28,18-30,Female,Bachelors,White,Temple,TX,30.65829468,-96.32379913,Buffalo,NY,Temple,TX,Bryan,TX,9,NA,NA,NA
27,18-30,Female,Bachelors,White,Menomonie,WI,44.55259705,-89.51670074,Minneapolis,MN,Fort Wayne,IN,Stevens Point,WI,9,NA,NA,NA
48,41-50,Female,Bachelors,White,Gladstone,OR,44.17930603,-72.47309875,Detroit,MI,New Castle,PA,St. Johnsbury,VT,9,NA,NA,NA
24,18-30,Male,Bachelors,White,Madison,MS,32.31129456,-90.39720154,Jackson,MS,Madison,MS,Madison,MS,9,NA,NA,NA
35,31-40,Female,Bachelors,Black,Virginia Beach,VA,35.05079651,-80.81860352,,,Virginia Beach,VA,Charlotte,NC,9,NA,NA,NA
33,31-40,Male,Graduate,White,Romeo,MI,30.8717041,-83.33339691,St. Clair Shores,MI,St. Clair Shores,MI,Milton,FL,9,NA,NA,NA
34,31-40,Female,Bachelors,White,St. Louis,MO,38.60760498,-90.55970001,St. Louis,MO,St. Louis,MO,St. Louis,MO,9,NA,NA,NA
48,41-50,Female,Bachelors,White,Clearwater,FL,33.86509705,-84.89479828,Queens,NY,Queens,NY,Acworth-Kennesaw,GA,9,NA,NA,NA
45,41-50,Female,No_degree,White,Ehrenberg,AZ,31.85450745,-106.5329971,Pueblo,CO,,,El Paso,TX,9,NA,NA,NA
26,18-30,Female,Associates,Black,Valdosta,GA,42.55070496,-90.69309998,,,Valdosta,GA,Valdosta,GA,9,NA,NA,NA
29,18-30,Male,No_degree,White,Richmond,VA,36.81900024,-76.27490234,,,,,Richmond,VA,9,NA,NA,NA
31,31-40,Female,Bachelors,Asian,Detroit,MI,42.23989868,-83.15080261,Detroit,MI,Detroit,MI,Warren,MI,9,NA,NA,NA
27,18-30,Female,Bachelors,White,San Diego,CA,32.69580078,-117.1188965,San Diego,CA,San Diego,CA,Sacramento,CA,9,NA,NA,NA
32,31-40,Female,Bachelors,White,Payson,UT,40.62469482,-111.7123032,Payson,UT,Moses Lake,WA,Santaquin,UT,9,NA,NA,NA
20,18-30,Male,Associates,White,Weidman,MI,42.68029785,-84.56310272,Coleman,MI,Weidman,MI,Weidman,MI,9,NA,NA,NA
35,31-40,Male,Graduate,White,Damascus,OR,45.44700623,-122.7667999,Portland,OR,Portland,OR,Beaverton,OR,9,NA,NA,NA
31,31-40,Female,Associates,Asian,Bel Air - Harford County,MD,47.53359985,-121.7996979,Baltimore,MD,Baltimore,MD,Echo,OR,9,NA,NA,NA
29,18-30,Female,No_degree,White,Charleston,SC,32.80360413,-79.9469986,Orangeburg,SC,Charleston,SC,Charleston,SC,9,NA,NA,NA
34,31-40,Female,Associates,White,Salinas,CA,45.46910095,-122.5534973,Other,SC,Salinas,CA,Portland,OR,9,NA,NA,NA
33,31-40,Female,Bachelors,White,Koontz Lake,IN,41.21400452,-86.42620087,Koontz Lake,IN,North Liberty,IN,Walkerton,IN,9,NA,NA,NA
49,41-50,Male,HS_diploma,Amerindian,Syracuse,NY,43.08909607,-76.22109985,Syracuse,NY,Syracuse,NY,Syracuse,NY,9,NA,NA,NA
29,18-30,Male,No_degree,White,Taylorsville,UT,40.707901,-111.8554993,South Salt Lake,UT,Santa Maria,CA,Tooele,UT,9,NA,NA,NA
50,41-50,Male,HS_diploma,White,Fort Smith,AR,35.28379822,-93.72460175,,,,,Rudy,AR,9,NA,NA,NA
23,18-30,Female,HS_diploma,White,Dayton,OH,40.55610657,-82.75930023,Dayton,OH,Augusta,ME,Bellefontaine,OH,9,NA,NA,NA
56,51-60,Male,No_degree,White,Arvada,CO,39.78500366,-104.9414978,Denver,CO,Denver,CO,Pueblo,CO,9,NA,NA,NA
40,31-40,Female,Bachelors,Hispanic,Queens,NY,41.24899292,-75.96150208,,,,,Queens,NY,9,NA,NA,NA
29,18-30,Female,Bachelors,White,Ladue,MO,33.84770203,-84.28140259,Manhattan,NY,Creve Coeur,MO,Atlanta,GA,9,NA,NA,NA
34,31-40,Female,No_degree,Hispanic,Youngstown,OH,41.13340759,-80.61190033,Mansfield,OH,Youngstown,OH,Youngstown,OH,9,NA,NA,NA
27,18-30,Male,Bachelors,White,Wilmington,DE,39.95970154,-75.19680023,,,Claymont,DE,Wilmington,DE,9,NA,NA,NA
