Age,Age_Bin,Gender,Education,Income,Race,RaisedCity,RaisedState,RaisedZip,RaisedPlace,Latitude,Longitude,RaisedYears,CG_1018.1,CG_1021.1,CG_1023,CG_1024.1,CG_1025.1,CG_1026.1,CG_1080,CG_1081,CG_1082,CU_1019.1,CU_1020.1,CU_1027.1,CU_1060.1,CU_1078,CU_1079,PI_1035,PI_1115,PI_1160,PI_1161,PI_1162,PI_1163,PI_1164,PI_1165,PI_1167,PI_1169,PI_1170,PI_1171,PI_1172,PI_1173,PI_1174,PR_1101,PR_1102,PR_1116,PR_1117,PR_1118.1,PR_1119,PR_1120,PR_1121,PR_1122,PR_1123,PR_1124,PR_1125,PR_1175,PR_1176,PR_1177,AmazonID,ResponseID,SurveyLatitude,SurveyLongitude,CG_Min,CU_Max,Min_Max_Discard,CG_Score,CU_Score,C_Sum_Discard,Discard?,MomCity,MomState,MomCountry,DadCity,DadState,DadCountry,CurrentCity,CurrentState,CurrentZip,CurrentYears,Race_Other,RaisedOther,Languages,LanguageList
22,18-30,Male,No_degree,62500,White,Frederick,MD,00000,"Frederick, MD",39.43329,-77.415591,9,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,4,2,1,1,2,5,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,2,1,1,1,1,A1RILUP7EBYOQ1,R_4UXlpbZCFFUvYfX,38.78509521,-77.28659821,5,1,No,5,1,No,No,Concordia,KS,,,,,Burke,VA,22015,7,,,1,
35,31-40,Female,Bachelors,12500,White,Des Moines,IA,50312,"Des Moines, IA",41.5790215,-93.6410755,35,5,5,5,5,5,5,4,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,AQ2INPVVXR1G0,R_1HUug0cDzGvWhxj,42.98350525,-81.23860168,4,1,No,4.888888889,1,No,No,Des Moines,IA,,,,,West Des Moines,IA,50265,35,,,1,
23,18-30,Male,No_degree,1,White,Stockton,CA,95236,"Stockton, CA",38.004171,-121.181302,23,5,5,5,5,5,5,3,5,5,1,2,1,1,1,3,3,2,4,4,1,1,2,3,5,3,3,1,3,2,2,5,2,3,2,,1,2,3,1,2,3,3,3,1,3,A3JMQCTNDWMUQF,R_5bgFWyw2YAXaHRj,39.55439758,-119.8054047,3,3,No,4.777777778,1.5,No,No,Stockton,CA,,Stockton,CA,,Reno,NV,89503,2,,,2,Japanese
53,51-60,Female,Associates,62500,White,Cranston,RI,02920,"Cranston, RI",41.770652,-71.475469,40,5,5,5,5,5,5,3,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,A3OF9HAEZVBQ3G,R_1UeTUFZNUZfU31r,41.70500183,-71.46040344,3,1,No,4.777777778,1,No,No,Cranston,RI,,Kingston,RI,,West Warwick,RI,02893,4,,,1,
39,31-40,Male,Associates,37500,White,Green River,UT,84525,"Green River, UT",38.9912325,-110.1264725,39,5,5,5,5,4,5,3,5,5,1,1,1,1,5,2,1,4,3,4,4,3,2,5,5,4,3,5,5,1,3,3,1,2,2,,1,1,1,1,1,1,2,1,3,2,A1OS4YKRBTBPTG,R_0UkDfQcD5r21mnj,38.98510742,-110.6589966,3,5,Consider,4.666666667,1.833333333,No,Flag,Price,UT,,Salt Lake City,UT,,Green River,UT,84525,39,,,1,
59,51-60,Female,HS_diploma,75000,White,Houston,TX,77083,"Houston, TX",29.7413505,-95.5223475,25,5,5,5,5,4,5,4,5,5,3,3,2,2,3,3,1,3,2,5,3,3,2,4,4,3,1,2,2,4,3,2,1,1,2,,2,2,2,2,1,2,1,2,2,3,A2QUQ0S2F6K3QJ,R_29Q3j8qqBaH4RW5,47.61540222,-122.2102966,4,3,No,4.777777778,2.666666667,Consider,Flag,Houston,TX,,Houston,TX,,Newcastle,WA,98056,5,,,1,
32,31-40,Female,Bachelors,75000,White,Germantown,MD,20874,"Germantown, MD",39.154879,-77.272995,32,5,5,5,5,3,5,5,5,5,1,1,1,1,1,1,1,1,1,3,1,1,1,4,5,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,A27O2IILV3S5YS,R_a4d5gdIYGMQBtPf,39.46240234,-77.27580261,3,1,No,4.777777778,1,No,No,Germantown,MD,,Germantown,MD,,Germantown,MD,20874,32,,,2,French
39,31-40,Male,HS_diploma,62500,White,Lockport,IL,60441,"Lockport, IL",41.59135598,-88.03986083,25,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,5,1,1,2,5,1,1,1,2,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,2,A2YGAEODJ5SSF6,R_6EyPgWz30eNFPcV,41.60450745,-87.99559784,5,1,No,5,1,No,No,Chicago,IL,,Chicago,IL,,Lockport,IL,60441,36,,,1,
29,18-30,Male,Graduate,50000,White,Houghton,MI,49935,"Houghton, MI",46.6016085,-88.607401,15,4,4,5,5,4,4,3,4,4,2,2,2,2,3,2,2,3,2,3,3,4,3,3,4,3,3,3,3,3,3,3,4,3,3,,3,3,3,3,3,3,3,3,3,3,A3770CWO9OHZDN,R_0IMTJ41jtODMwex,34.04379272,-118.2512054,3,3,No,4.111111111,2.166666667,Consider,Flag,Nashville-Davidson,TN,,,,,Houghton,MI,49935,15,,,3,"Russian, Finnish"
42,41-50,Male,Bachelors,75000,White,Ruch,OR,00000,"Ruch, OR",42.231368,-123.040322,15,5,5,5,5,4,5,5,5,5,2,2,2,2,3,3,1,3,1,4,2,2,1,3,5,2,1,2,1,3,1,2,1,4,3,,2,2,2,3,4,4,4,1,2,4,A30AFC17LLJFV6,R_6yWltOGZhL3NV8p,45.57739258,-122.6208038,4,3,No,4.888888889,2.333333333,Consider,Flag,Chico,CA,,Indianapolis,IN,,Portland,OR,97217,11,,,1,
50,41-50,Male,Bachelors,50000,White,Bellmore,NY,11710,"Bellmore, NY",40.6665695,-73.5315585,14,5,5,5,5,1,5,1,5,5,1,1,1,1,1,3,1,2,1,2,1,1,1,3,5,1,1,1,2,1,2,2,1,1,1,,1,1,1,1,1,2,2,1,1,3,A392P1JQB1KR2E,R_9vutW2JBWevoveB,29.30050659,-81.19480133,1,3,Consider,4.111111111,1.333333333,No,Flag,Bronx,NY,,Brooklyn,NY,,Ormond Beach,FL,32174,16,,,1,
26,18-30,Male,No_degree,25000,Hispanic,Miami,FL,33125,"Miami, FL",25.778855,-80.2213665,16,5,5,5,5,3,5,5,5,4,1,1,1,1,5,2,3,5,2,3,2,5,1,2,5,2,1,1,3,2,5,3,4,4,2,,1,2,1,5,3,1,2,1,2,5,AAE6DGZOC9EWQ,R_9QR0ADbzveMpMFf,25.81239319,-80.24009705,3,5,Consider,4.666666667,1.833333333,No,Flag,Managua,,Nicaragua - NI,Managua,,Nicaragua - NI,Miami,FL,33145,10,,,2,Spanish
31,31-40,Female,Bachelors,25000,White,Manassas,VA,20110,"Manassas, VA",38.7481895,-77.486149,19,5,5,5,4,4,5,2,5,5,2,1,1,1,3,1,2,3,1,3,3,1,1,1,5,3,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,2,1,3,3,A195MOXRMNHRVT,R_6FpGweiHvI9r9Zj,38.93539429,-77.02839661,2,3,Consider,4.444444444,1.5,No,Flag,Fairfax,VA,,Alexandria,VA,,Alexandria,VA,22310,5,,,1,
51,51-60,Female,Bachelors,50000,White,Dorset,VT,00000,"Dorset, VT",43.26046,-73.108367,14,5,5,5,5,5,5,4,5,5,1,1,1,1,1,2,4,4,2,4,4,2,1,3,5,3,5,1,2,3,4,1,3,2,3,,4,2,3,4,3,2,4,1,3,2,A1U8HCXVACOGJ8,R_eqzBlRMxtajKnsh,41.76359558,-70.71600342,4,2,No,4.888888889,1.166666667,No,No,Morristown,NJ,,St. Albans,VT,,Quincy,MA,02170,5,,,1,
22,18-30,Male,No_degree,62500,White,Colorado Springs,CO,80919,"Colorado Springs, CO",38.897025,-104.8035845,12,5,5,4,5,3,4,5,5,5,2,1,2,2,1,2,1,2,1,2,2,2,1,3,4,2,1,2,2,3,2,1,1,2,2,,2,1,2,2,2,2,2,2,1,2,AMQK5FIDUG4QO,R_1CaYJfP3ptZFHxz,,,3,2,No,4.555555556,1.666666667,No,No,Los Angeles,CA,,Duluth,MN,,Golden,CO,80401,4,,,1,
