Age,Age_Bin,Gender,Education,Income,Race,RaisedCity,RaisedState,RaisedZip,RaisedPlace,Latitude,Longitude,RaisedYears,PR_1156,PR_1155,PR_1154,PR_1153,PR_1152,PR_1151,PR_1151INC,PR_1150,PR_1149,PR_1148,PR_1147,PR_1146,PR_1071,PR_1070,PR_1067,PR_1066,PR_1065,PR_1048,PR_1009,PR_1007,PI_1159,PI_1158,PI_1157,PI_1094,PI_1054,PI_1049,PI_1047,PI_1040,PI_1033,PI_1030,PI_1029,CU_1079,CU_1078,CU_1060.1,CU_1027.1,CU_1020.1,CU_1019.1,CG_1082,CG_1081,CG_1080,CG_1026.1,CG_1025.1,CG_1024.1,CG_1023,CG_1021.1,CG_1018.1,AmazonID,ResponseID,LocationLatitude,LocationLongitude,CG_Min,CU_Max,Min_Max_Discard,CG_Score,CU_Score,C_Sum_Discard,Discard?,MomCity,MomState,MomCountry,DadCity,DadState,DadCountry,CurrentCity,CurrentState,CurrentZip,CurrentYears,Race_Other,RaisedOther,Languages,LanguageList
33,31-40,Male,High school graduate,$25000 - $37499,White,Alabaster,Alabama,35007,"Alabaster, Alabama 35007",33.244281,-86.816377,18,1,1,1,1,3,1,1,1,1,1,2,2,4,5,5,3,,5,4,1,5,1,5,1,4,2,5,2,1,4,5,4,1,3,1,1,1,5,5,4,5,1,5,5,5,5,A38HODAQUKJKKS,R_1Cm7if2oWeGkoXv,33.2507019,-86.9210968,1,4,Consider,4.444444444,1.833333333,No,Flag,Hot Springs,Arkansas,,Birmingham,Alabama,,Vandiver,Alabama,35176,2,,,1,English
55,51-60,Male,Some college no degree,$12500 - $24999,White,Anchorage,Alaska,99510,"Anchorage, Alaska 99510",61.196105,-149.915966,25,4,4,1,1,1,1,1,1,4,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,5,5,4,5,5,5,5,5,5,A15LHHN76OW2UM,R_XZJFy5WMJckGdP3,43.71350098,-116.1853027,4,1,No,4.888888889,1,No,No,Madison,Wisconsin,,Madison,Wisconsin,,Pocatello,Idaho,83204,5,,,1,English
35,31-40,Female,Bachelors degree,$12500 - $24999,White,Kodiak,Alaska,99615,"Kodiak, Alaska 99615",57.790000,-152.407222,15,5,5,3,3,3,3,,1,5,5,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,2,4,1,1,1,1,1,1,1,1,5,5,4,5,1,5,5,5,5,A36470UBRH28GO,R_3OqqwhlfNSX516y,36.22219849,-83.32369995,1,1,Consider,4.444444444,1,No,Flag,Annapolis,Maryland,,Dothan,Alabama,,Rutledge,Tennessee,37861,2,,,1,English
32,31-40,Male,Bachelors degree,$37500 - $49999,White,Tucson,Arizona,85730,"Tucson, Arizona 85730",32.177254,-110.795687,32,1,5,2,1,5,1,1,1,5,2,2,1,1,1,1,4,,2,1,1,1,1,1,1,1,1,1,1,5,4,1,1,2,2,1,1,1,5,5,5,5,5,5,5,5,5,A12J4IRF5Z06BT,R_2EH2vVSzhyoHq7W,32.17849731,-110.7897034,5,2,No,5,1.333333333,No,No,Bangor,Maine,,Tucson,Arizona,,Tucson,Arizona,85730,32,,,1,English
45,41-50,Female,Associates degree,$87500 - $99999,White,Phoenix,Arizona,85032,"Phoenix, Arizona 85032",33.636450,-112.011866,30,3,1,1,2,2,1,1,1,2,2,2,4,1,1,1,4,,4,1,2,1,1,1,2,4,4,4,1,3,2,2,4,1,1,1,1,1,4,4,5,5,2,5,5,5,4,A3EM49IJLS9JT0,R_2QxPIe0qgWE2Dgv,45.41329956,-122.4991989,2,4,Consider,4.333333333,1.5,No,Flag,Ansonia,Connecticut,,Ansonia,Connecticut,,Damascus,Oregon,97089,7,,,1,English
23,18-30,Female,Bachelors degree,Less than $12500,White,mesa,Arizona,85202,"mesa, Arizona 85202",33.379424,-111.874744,23,5,1,2,3,3,2,3,3,4,1,2,2,5,4,3,3,,5,5,5,2,3,2,2,1,2,5,2,5,3,4,2,2,2,1,2,2,5,5,5,5,5,5,5,5,5,A37S72JHDSZJY9,R_3fHIHIxGG8hph3u,33.45140076,-111.6411972,5,2,No,5,1.833333333,No,No,Houston ,Texas,,Houston ,Texas,,Mesa,Arizona,85202,23,,,1,English
23,18-30,Male,Associates degree,$50000 - $62499,White,Phoenix,Arizona,85001,"Phoenix, Arizona 85001",33.45,-112.07,23,1,1,1,1,3,1,1,2,4,1,2,1,3,3,3,5,,2,3,3,1,5,1,1,1,1,4,1,5,3,2,2,2,1,2,1,1,5,5,5,4,5,5,5,5,5,A31IZKL0SIL3MB,R_BPOOPDrgNf9O2R3,33.41479492,-111.9093018,4,2,No,4.888888889,1.5,No,No,?,Wisconsin,,I don't know him,,,Phoenix,Arizona,85001,23,,,1,English
37,31-40,Female,High school graduate,$50000 - $62499,White,Tucson ,Arizona,85705,"Tucson , Arizona 85705",32.268073,-110.992390,20,2,1,3,2,5,2,1,2,4,2,1,1,3,2,1,3,,2,3,2,2,1,2,2,2,3,4,3,3,5,5,1,3,1,1,1,1,5,4,5,5,4,5,5,5,5,A17FB78KGK0UC9,R_1jIFmw8NeWaGPY4,33.4125061,-111.8319016,4,3,No,4.777777778,1.333333333,No,No,Unsure,Alabama,,Tucson Area,Arizona,,Mesa ,Arizona,85204,15,,,1,English
24,18-30,Female,Bachelors degree,$37500 - $49999,White,Tempe,Arizona,85202,"Tempe, Arizona 85202",33.379424,-111.874744,12,1,1,2,4,4,4,,3,3,4,1,2,1,1,1,1,3,1,3,1,3,4,3,2,2,1,1,3,3,4,1,1,3,1,1,3,2,4,5,5,5,4,5,5,5,5,A3761TN7D10DWB,R_1KjogfRt4e5O98q,47.26080322,-122.510498,4,3,No,4.777777778,1.833333333,No,No,Whittier,California,,Phoenix,Arizona,,Tacoma,Washington,98405,1,,,1,English
30,18-30,Male,Bachelors degree,$50000 - $62499,White,Little Rock,Arkansas,72116,"Little Rock, Arkansas 72116",34.803099,-92.248270,30,2,3,3,3,3,3,3,4,5,2,4,3,1,1,2,4,,4,2,2,1,1,3,1,1,2,4,2,3,2,3,4,2,2,1,1,1,5,5,4,5,5,5,5,5,5,ANZKTE853UXSD,R_1l4TGnZTRUnVxzY,34.80360413,-92.24440002,4,4,Consider,4.888888889,1.833333333,No,Flag,Anchorage,Alaska,,New Orleans,Louisiana,,Little Rock,Arkansas,72116,30,,,1,English
36,31-40,Female,Bachelors degree,$75000 - $87499,White,burbank,California,91506,"burbank, California 91506",34.172846,-118.325739,36,4,4,3,4,4,4,,1,3,3,4,4,2,2,2,4,4,2,2,2,3,3,3,1,2,2,2,3,5,4,2,3,2,3,3,3,3,5,5,4,5,4,5,5,5,5, A2KOX4A405QOVM,R_1OwRUvnBix4TsIK,34.13519287,-118.2416,4,3,No,4.777777778,2.833333333,Consider,Flag,des moines,Iowa,,boston ,Massachusetts,,burbank,California,91506,36,,,1,english
39,31-40,Female,Bachelors degree,$25000 - $37499,White,Sacramento,California,95828,"Sacramento, California 95828",38.492988,-121.388467,35,1,3,1,1,1,5,1,2,5,5,1,5,3,3,4,4,,2,4,5,2,1,1,1,1,1,4,4,1,2,5,1,2,1,1,1,1,5,5,4,5,5,5,5,5,5,A3MTAJHYHCIJK4,R_3O2J1TdNbYaDuXH,42.90609741,-112.3974991,4,2,No,4.888888889,1.166666667,No,No,Sacramento,California,,Fortuna,California,,Pocatello,Idaho,83201,2,,,1,English
35,31-40,Male,Some college no degree,$12500 - $24999,White,San Diego,California,92119,"San Diego, California 92119",32.811287,-117.038215,35,1,1,1,2,1,3,1,2,1,1,2,4,1,2,2,2,,2,2,2,1,1,2,2,1,1,5,2,1,2,2,2,2,1,1,1,2,5,5,3,5,4,5,5,5,5,AB1X97ASE626Q,R_3q8aqsv4vw74lwq,32.79519653,-116.9671021,3,2,No,4.666666667,1.5,No,No,Chicago ,Illinois,,Oakland,California,,San Diego,California,92119,35,,,1,English
31,31-40,Female,High school graduate,$50000 - $62499,White,Big bear,California,92314,"Big bear, California 92314",34.261118,-116.845030,31,2,2,5,1,1,2,1,3,3,4,2,1,1,1,1,1,,2,2,1,3,1,2,3,1,2,4,1,3,4,2,2,1,1,3,1,1,3,3,4,3,5,5,4,5,5,A1PD0NGV29HX0W,R_3PSiKGbofN83qWl,34.4954071,-117.3685989,3,3,No,4.111111111,1.5,No,No,America,California,,Palm springs,California,,Big bear,California,92314,31,,,1,English
60,51-60,Female,Associates degree,$25000 - $37499,White,San Jose,California,95125,"San Jose, California 95125",37.290981,-121.890413,30,1,1,2,2,1,1,1,2,3,1,1,1,1,1,1,2,,1,1,1,1,1,1,1,1,1,5,1,5,1,1,1,1,1,1,1,1,5,5,4,5,1,5,5,5,5,A2NZ7RMSBXESNI,R_1n2gWNIw8SGrSqr,39.54249573,-119.8460999,1,1,Consider,4.444444444,1,No,Flag,San Jose,California,,San Jose,California,,Reno,Nevada,89508,8,,,1,English
29,18-30,Male,Bachelors degree,$100000 or more,Asian,Oakland,California,94606,"Oakland, California 94606",37.794409,-122.245536,28,1,5,2,1,2,1,1,3,3,2,3,2,2,2,1,3,,2,2,2,3,2,2,1,2,2,3,3,5,4,4,3,1,2,2,2,2,5,5,5,5,4,5,5,5,4,A2FLHXD97VI8F4,R_1mrsZPoYQWMTvZm,34.02659607,-118.2830963,4,3,No,4.777777778,2,Consider,Flag,Oakland,California,,San Leandro,California,,Los Angeles,California,90007,1,,,2,"Cantonese, English"
27,18-30,Female,Associates degree,$50000 - $62499,Asian,Sacramento,California,95832,"Sacramento, California 95832",38.436908,-121.497029,27,1,1,1,1,1,1,,1,5,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,5,5,5,5,3,5,5,5,5,A340JH9OISLC55,R_2S3omTnjYIkwc7p,39.50509644,-121.6764984,3,1,No,4.777777778,1,No,No,Sacramento,California,,Chico,California,,Sacramento,California,95832,27,,,2,"English, Hmong"
38,31-40,Female,Some college no degree,$37500 - $49999,White,Danville,California,94526,"Danville, California 94526",37.800694,-121.981435,26,2,5,2,2,2,3,,4,4,5,2,5,4,4,4,5,2,2,4,4,4,2,3,2,2,4,2,2,3,3,3,2,2,2,2,2,2,4,5,3,4,4,5,5,5,3,A2HZIGWCDBSGIB,R_yn1AzbECgMEbhkd,35.46760559,-97.5164032,3,2,No,4.222222222,2,Consider,Flag,Detroit,Michigan,,Detroit,Michigan,,Sallisaw,Oklahoma,74955,10,,,1,English
57,51-60,Female,Associates degree,$12500 - $24999,White,Santa Clara,California,95050,"Santa Clara, California 95050",37.353966,-121.952999,25,3,4,2,4,5,3,,2,5,5,2,5,3,3,3,5,3,2,3,3,2,1,1,1,1,3,2,3,2,5,3,4,1,1,1,1,1,5,5,4,5,5,5,4,5,5,A2UVEVCYVC553J,R_7Oo5RJJv8iOeGnD,33.44650269,-111.7685013,4,4,Consider,4.777777778,1.5,No,Flag,Seattle,Washington,,Seattle,Washington,,Mesa,Arizona,85210,15,,,1,English
54,51-60,Female,Bachelors degree,Less than $12500,White,Los Angeles,California,90039,"Los Angeles, California 90039",34.110340,-118.258509,23,3,4,2,2,4,3,,2,4,4,1,5,1,1,1,4,2,2,1,1,4,1,1,1,1,1,2,3,2,3,3,2,3,1,1,1,1,5,5,4,5,5,4,5,5,5,AHB3QFZSFN9DL,R_3Id9XhBToI688h7,34.23460388,-118.5193024,4,3,No,4.777777778,1.5,No,No,"Toronto, Ontario",Outside the United States,Canada,Los Angeles,California,,Los Angeles,California,91406,54,,,2,"English, Spanish"
43,41-50,Male,Bachelors degree,$25000 - $37499,White,Colton,California,92324,"Colton, California 92324",34.073901,-117.313654,21,2,2,3,2,2,3,2,3,3,3,2,2,3,3,3,4,,2,1,3,4,3,2,1,4,4,1,3,2,1,3,3,2,3,1,2,3,4,5,3,5,4,5,5,4,5,A35P8YSNTQ7OTP,R_eafcOgtbGZLonT3,47.63220215,-122.6376038,3,3,No,4.444444444,2.333333333,Consider,Flag,Colton,California,,Victorville,California,,Bremerton,Washington,98312,2,,,1,English
31,31-40,Male,Some college no degree,$12500 - $24999,White,santa clarita ,California,91321,"santa clarita , California 91321",34.367716,-118.474717,20,4,2,4,2,2,3,3,4,5,2,2,4,4,5,3,2,,3,4,5,3,1,2,1,3,4,5,2,5,4,5,3,2,3,2,1,2,5,5,5,3,5,5,5,5,5,A18T7E73TNGOKP,R_xyL2VZlwfQJStih,45.6867981,-122.5755997,3,3,No,4.777777778,2.166666667,Consider,Flag,santa monica,California,,santa monica,California,,vancouver,Washington,98661,3,,,1,english
22,18-30,Male,Bachelors degree,$50000 - $62499,Asian,Temple City,California,91780,"Temple City, California 91780",34.107230,-118.057845,20,5,5,2,5,5,5,,4,5,4,5,2,2,2,2,5,5,1,1,2,1,1,1,1,1,1,1,5,1,5,2,4,2,1,1,1,1,5,5,5,5,3,5,5,5,5,A26489BYPGWBGZ,R_3CQpg1g1DgI7cBz,34.08909607,-118.0923996,3,4,Consider,4.777777778,1.666666667,No,Flag,"Yiwu, China",Outside the United States,China,Yiwu,Outside the United States,China,Temple City,California,91780,20,,,2,"English, Mandarin"
50,41-50,Male,Some college no degree,$12500 - $24999,Asian,Carlsbad,California,92008,"Carlsbad, California 92008",33.141212,-117.320512,18,5,4,3,3,5,3,,3,3,3,2,2,2,3,1,2,4,3,2,1,2,3,2,2,2,3,4,2,3,4,2,3,1,3,1,3,2,5,5,4,5,5,5,3,5,5,A2NL38BFEE3BVY,R_111Gs8mdBpbNsyh,45.48179626,-122.6004944,3,3,No,4.666666667,2.166666667,Consider,Flag,Osaka,Outside the United States,Japan,Tustin,California,,Portland,Oregon,97202,32,,,1,English
54,51-60,Female,Graduate degree (masters doctorate etc.),$100000 or more,White,Santa barbara,California,00000,"Santa barbara, California",34.420830,-119.698190,18,3,3,3,3,3,3,,2,3,2,2,3,2,3,3,2,3,3,3,3,1,1,1,1,2,1,4,2,2,3,3,2,1,1,1,2,1,3,5,4,4,3,4,4,5,5,A1AJNZMITK8GXL,R_2YtVHPjH6gF0IPs,36.82519531,-119.7028961,3,2,No,4.111111111,1.333333333,No,No,Ft. Worth,Texas,,Reedley,California,,Fresno,California,93720,25,,,1,English
26,18-30,Male,Bachelors degree,$25000 - $37499,Hispanic/Latino/Latina,Monterey Park,California,91755,"Monterey Park, California 91755",34.042781,-118.118119,18,4,3,4,3,3,3,4,2,4,3,2,1,2,2,2,2,,5,1,3,5,2,5,1,4,2,4,3,4,4,5,3,1,2,1,1,3,5,5,4,4,3,5,5,5,5,A13E24T6Q6AJ8Z,R_115csc1yd3KHN6P,43.15750122,-77.62390137,3,3,No,4.555555556,1.833333333,No,No,Los Angeles,California,,Los Angeles,California,,Rochester,New York,14620,8,,,1,English
30,18-30,Male,Some college no degree,Less than $12500,Other,Menlo Park,California,94025,"Menlo Park, California 94025",37.448491,-122.180281,18,2,3,3,2,2,2,,2,5,1,2,3,1,2,2,3,5,2,2,2,2,2,2,2,2,3,5,2,5,5,4,2,2,1,1,2,2,4,5,4,4,5,5,5,5,4,AHJYLSDFBLEWM,R_2xFsNffW3LBUgbX,45.4763031,-122.6408005,4,2,No,4.555555556,1.666666667,No,No,Kitsuki,Outside the United States,Japan,Chicago,Illinois,,Portland,Oregon,97214,5,White/Japanese,,1,English
41,41-50,Male,Bachelors degree,$87500 - $99999,White,redding,California,95001,"redding, California 95001",37.265142,-121.945489,18,5,5,5,1,5,1,,2,5,1,1,1,1,1,1,2,5,2,1,2,1,1,1,1,1,1,5,1,5,2,1,2,4,1,1,1,1,5,5,5,5,5,5,4,5,5,A5TI9UQEPLNWI,R_eVuWFW6dWnvbbCV,47.99609375,-123.2518997,4,4,Consider,4.888888889,1.666666667,No,Flag,San Francisco,Washington,,Redding,California,,mercer island,Washington,98040,11,,,1,english
31,31-40,Male,Bachelors degree,$12500 - $24999,Asian,San Jose,California,95112,"San Jose, California 95112",37.345622,-121.884722,18,2,4,1,2,5,2,1,4,4,1,1,1,1,1,1,1,,2,1,1,5,1,5,1,2,1,1,2,1,4,1,2,2,1,3,1,1,5,5,3,5,3,5,1,5,5,A1OQ3KL56KMQSU,R_22WVCq2OEVqY2i9,37.44039917,-121.8704987,1,3,Consider,4.111111111,1.666666667,No,Flag,San Jose,California,,San Jose,California,,San Jose,California,95112,4,,,1,English
